file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,81,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,82,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,83,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,11
style.css,84,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,15
style.css,85,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,10
style.css,86,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,13
style.css,87,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,21
style.css,88,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,17
style.css,89,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,34
style.css,90,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,40
style.css,91,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,17
style.css,92,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,14
style.css,93,css,21046396,Amrutha Potluri,2025-10-17,16:57:08,-07:00,2025-10-17T16:57:08-07:00,1,10
style.css,94,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,95,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,96,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,9
style.css,97,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,12
style.css,98,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,58
style.css,99,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,7
style.css,100,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,101,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,102,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,19
style.css,103,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,12
style.css,104,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,15
style.css,105,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,26
style.css,106,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,107,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,108,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,24
style.css,109,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,8
style.css,110,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,111,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,112,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,9
style.css,113,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,12
style.css,114,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,115,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,116,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,13
style.css,117,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,16
style.css,118,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,17
